"Australia: age structure in 2022"
"Age","Male","Female"
"0","155668","148170"
"1","156211","148474"
"2","153700","145737"
"3","155226","146546"
"4","157911","148919"
"5","160408","151618"
"6","164730","155709"
"7","166818","157397"
"8","167287","157761"
"9","169109","159509"
"10","169736","160459"
"11","168944","160086"
"12","169338","160479"
"13","169558","160373"
"14","168936","159332"
"15","168235","158245"
"16","164113","154191"
"17","158519","148857"
"18","157798","147667"
"19","160777","150410"
"20","163792","152963"
"21","169407","156992"
"22","176089","163160"
"23","178687","167555"
"24","180165","171049"
"25","183500","175905"
"26","187419","180780"
"27","191457","185781"
"28","192790","189404"
"29","191739","191664"
"30","191357","194140"
"31","193012","197012"
"32","194842","198760"
"33","193606","197402"
"34","191104","195522"
"35","190089","194376"
"36","190908","193921"
"37","190825","193762"
"38","189361","192195"
"39","188477","190467"
"40","185150","186920"
"41","179103","181808"
"42","171540","175742"
"43","164733","170046"
"44","160359","165986"
"45","157737","162868"
"46","158121","161582"
"47","159429","162002"
"48","161111","164262"
"49","163949","167544"
"50","168200","172842"
"51","171298","177111"
"52","166346","171873"
"53","159441","164710"
"54","154888","160249"
"55","150160","155015"
"56","148210","152946"
"57","148575","153617"
"58","151054","156725"
"59","153466","159769"
"60","153346","159950"
"61","151297","158649"
"62","146828","155398"
"63","142035","151087"
"64","138182","147844"
"65","134080","144164"
"66","130885","140260"
"67","126783","136621"
"68","121857","132643"
"69","118920","129216"
"70","116184","125801"
"71","113197","122574"
"72","110629","120028"
"73","107089","116270"
"74","105080","113324"
"75","105553","113257"
"76","96443","103605"
"77","83711","90736"
"78","77391","84910"
"79","69335","77107"
"80","63123","70885"
"81","58212","66220"
"82","52572","61407"
"83","47832","57690"
"84","42792","53269"
"85","38221","48554"
"86","33434","43821"
"87","28346","38914"
"88","23884","34133"
"89","20230","30032"
"90","17017","26524"
"91","14323","23422"
"92","11946","20530"
"93","9443","17052"
"94","7035","13665"
"95","5128","10696"
"96","3810","8216"
"97","2726","6222"
"98","1731","4363"
"99","1076","2920"

"Source: Australian Bureau of Statistics, Population clock and pyramid"
